S&P/ASX 200 Index (1 July 2017),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
A2M,The A2 Milk Company Limited NZ,Consumer Staples,"2,693,390,000",0.17,,"1,617,077,657,000",
AAC,Australian Agricultural Company Limited,Consumer Staples,"1,059,550,000",0.07,,,
AAD,Ardent Leisure Group Stapled,Consumer Discretionary,"886,700,000",0.05,,Sector Breakdown,
ABC,Adelaide Brighton Limited,Materials,"3,609,010,000",0.22,,Consumer Discretionary,5.96
ABP,Abacus Property Group Stapled,Real Estate,"1,824,560,000",0.11,,Consumer Staples,6.74
ACX,Aconex Limited,Information Technology,"727,637,000",0.04,,Energy,4.27
AGL,AGL Energy Limited,Utilities,"16,386,700,000",1.01,,Financials,35.18
AHG,Automotive Holdings Group Limited,Consumer Discretionary,"1,107,620,000",0.07,,Health Care,8.18
AHY,Asaleo Care Limited,Consumer Staples,"792,959,000",0.05,,Industrials,7.55
ALL,Aristocrat Leisure Limited,Consumer Discretionary,"13,945,800,000",0.86,,Information Technology,1.42
ALQ,Als Limited,Industrials,"3,806,870,000",0.24,,Materials,16.13
ALU,Altium Limited,Information Technology,"1,097,720,000",0.07,,Real Estate,8.06
AMC,Amcor Limited,Materials,"18,576,600,000",1.15,,Telecommunication Services,4.19
AMP,AMP Limited,Financials,"15,167,800,000",0.94,,Utilities,2.33
ANN,Ansell Limited,Health Care,"3,427,630,000",0.21,,,
ANZ,Australia And New Zealand Banking Group Limited,Financials,"84,117,500,000",5.2,,,
AOG,Aveo Group Stapled,Real Estate,"1,534,730,000",0.09,,,
APA,APA Group Stapled,Utilities,"10,140,200,000",0.63,,,
API,Australian Pharmaceutical Industries Limited,Health Care,"913,478,000",0.06,,,
APO,Apn Outdoor Group Limited,Consumer Discretionary,"788,087,000",0.05,,,
ARB,ARB Corporation Limited,Consumer Discretionary,"1,223,400,000",0.08,,,
AST,Ausnet Services Limited,Utilities,"6,119,580,000",0.38,,,
ASX,ASX Limited,Financials,"10,396,100,000",0.64,,,
AWC,Alumina Limited,Materials,"5,543,700,000",0.34,,,
AZJ,Aurizon Holdings Limited,Industrials,"10,915,300,000",0.68,,,
BAP,Bapcor Limited,Consumer Discretionary,"1,507,400,000",0.09,,,
BEN,Bendigo And Adelaide Bank Limited,Financials,"5,318,290,000",0.33,,,
BGA,Bega Cheese Limited,Consumer Staples,"1,186,340,000",0.07,,,
BHP,BHP Billiton Limited,Materials,"74,607,600,000",4.61,,,
BKL,Blackmores Limited,Consumer Staples,"1,712,420,000",0.11,,,
BKW,Brickworks Limited,Materials,"2,021,880,000",0.13,,,
BLD,Boral Limited,Materials,"8,030,470,000",0.5,,,
BOQ,Bank of Queensland Limited,Financials,"4,520,680,000",0.28,,,
BPT,Beach Energy Limited,Energy,"1,105,550,000",0.07,,,
BRG,Breville Group Limited,Consumer Discretionary,"1,339,980,000",0.08,,,
BSL,Bluescope Steel Limited,Materials,"7,592,320,000",0.47,,,
BTT,BT Investment Management Limited,Financials,"3,512,280,000",0.22,,,
BWP,BWP Trust Ord Units,Real Estate,"1,888,610,000",0.12,,,
BXB,Brambles Limited,Industrials,"15,369,700,000",0.95,,,
CAR,Carsales.com Limited,Information Technology,"2,785,370,000",0.17,,,
CBA,Commonwealth Bank of Australia,Financials,"142,610,000,000",8.82,,,
CCL,Coca-cola Amatil Limited,Consumer Staples,"6,918,130,000",0.43,,,
CCP,Credit Corp Group Limited,Financials,"831,528,000",0.05,,,
CGC,Costa Group Holdings Limited,Consumer Staples,"1,564,470,000",0.1,,,
CGF,Challenger Limited,Financials,"7,641,940,000",0.47,,,
CHC,Charter Hall Group Forus,Real Estate,"2,533,830,000",0.16,,,
CIM,Cimic Group Limited,Industrials,"12,620,000,000",0.78,,,
CMW,Cromwell Property Group Stapled,Real Estate,"1,683,060,000",0.1,,,
